task_model,task_data,value
0,0,0.30837438
0,1,-0.029100746
0,2,-0.03647136
0,3,-0.063061684
0,4,-0.020963505
0,5,-0.03796965
0,6,-0.08356515
0,7,-0.056024216
0,8,-0.04536119
0,9,-0.023377446
1,0,0.24368921
1,1,0.15063213
1,2,-0.030345792
1,3,-0.050179753
1,4,-0.0045622895
1,5,-0.005076896
1,6,-0.013059225
1,7,-0.023616482
1,8,-0.01835411
1,9,0.013361449
2,0,0.19794653
2,1,0.13209622
2,2,0.13025734
2,3,-0.047706317
2,4,-0.0019664988
2,5,-0.0021984936
2,6,0.010357512
2,7,0.005338796
2,8,-0.005275224
2,9,0.0097573055
3,0,0.14554381
3,1,0.10884117
3,2,0.11885506
3,3,0.050315887
3,4,0.00023962307
3,5,-0.010710996
3,6,0.02886642
3,7,0.00438685
3,8,-0.011516258
3,9,0.031142006
4,0,0.11434758
4,1,0.0844036
4,2,0.09817873
4,3,0.08081248
4,4,0.08447531
4,5,-0.0023630948
4,6,0.02501808
4,7,0.0053799446
4,8,-0.013986328
4,9,0.051301446
5,0,0.09233524
5,1,0.06938235
5,2,0.067526214
5,3,0.06791023
5,4,0.07157483
5,5,0.053753912
5,6,0.0019038811
5,7,0.0054063797
5,8,-0.014681616
5,9,0.03966054
6,0,0.08233145
6,1,0.04045568
6,2,0.05150292
6,3,0.053436212
6,4,0.048745878
6,5,0.03783651
6,6,0.06240365
6,7,-0.0010747816
6,8,-0.005335133
6,9,0.013891428
7,0,0.059268605
7,1,0.030476006
7,2,0.0330079
7,3,0.04294258
7,4,0.028638003
7,5,0.03332463
7,6,0.054619826
7,7,0.07044324
7,8,-0.013510405
7,9,0.03702342
8,0,0.060607564
8,1,0.032274675
8,2,0.03607132
8,3,0.0318519
8,4,0.027142983
8,5,0.01872913
8,6,0.050909985
8,7,0.07622102
8,8,0.07148991
8,9,0.036565766
9,0,0.039748125
9,1,0.0062654247
9,2,0.02245438
9,3,0.021595253
9,4,0.019277912
9,5,0.0113384975
9,6,0.042463426
9,7,0.056060035
9,8,0.04459636
9,9,0.09772765
