task_model,task_data,value
0,0,15937.84122467041
0,1,1393.3943271636963
0,2,2242.7382707595825
0,3,1355.6274995207787
0,4,1824.4615361094475
0,5,1979.0153503417969
0,6,930.6447125971317
0,7,728.6101311445236
0,8,1162.2772544622421
0,9,1233.6202949285507
1,0,18561.118412017822
1,1,9979.818439483643
1,2,3370.3500151634216
1,3,2488.2630825042725
1,4,2816.9104039669037
1,5,3645.5194175243378
1,6,2900.4721879959106
1,7,1212.0036959648132
1,8,2367.9412186145782
1,9,2153.9511501789093
2,0,16974.99656677246
2,1,11724.087524414062
2,2,8586.573266983032
2,3,2909.7875118255615
2,4,2966.9953286647797
2,5,3755.8076918125153
2,6,3872.551089525223
2,7,1455.2238285541534
2,8,2269.9432492256165
2,9,2213.6531054973602
3,0,16678.44114303589
3,1,11780.766916275024
3,2,13078.550815582275
3,3,5958.993458747864
3,4,2839.963960647583
3,5,4519.452178478241
3,6,4990.8034682273865
3,7,1702.8850436210632
3,8,2438.181793689728
3,9,2798.8405585289
4,0,15804.596519470215
4,1,11507.698822021484
4,2,13897.955989837646
4,3,9353.75370979309
4,4,6761.4423632621765
4,5,5503.966641426086
4,6,4767.511689662933
4,7,1779.0516048669815
4,8,2893.2842135429382
4,9,3669.8270320892334
5,0,12241.283226013184
5,1,8967.79179573059
5,2,10777.75502204895
5,3,7643.464779853821
5,4,9363.319039344788
5,5,8186.023378372192
5,6,3814.359450340271
5,7,1763.7156248092651
5,8,2308.0612421035767
5,9,3323.8375186920166
6,0,11792.806720733643
6,1,8755.096864700317
6,2,10586.206531524658
6,3,7739.655780792236
6,4,10917.897868156433
6,5,16853.96876335144
6,6,5865.35416841507
6,7,2420.692241191864
6,8,2937.5640749931335
6,9,4016.4835691452026
7,0,12041.585874557495
7,1,8239.675045013428
7,2,10497.636365890503
7,3,6628.214502334595
7,4,9763.237309455872
7,5,15620.526218414307
7,6,11171.992063522339
7,7,4871.921706199646
7,8,2867.210829257965
7,9,4125.395202636719
8,0,11085.50796508789
8,1,7688.495421409607
8,2,10601.716756820679
8,3,6870.301580429077
8,4,9236.85758113861
8,5,14094.336938858032
8,6,10235.798358917236
8,7,7256.2965631484985
8,8,5898.0961084365845
8,9,4210.434174537659
9,0,11654.163026809692
9,1,7352.397775650024
9,2,10854.752159118652
9,3,6805.199909210205
9,4,9176.675963401794
9,5,17693.37863922119
9,6,11113.124227523804
9,7,6379.752779006958
9,8,9521.22552394867
9,9,7023.064064979553
