task_model,task_data,value
0,0,8851.170776367188
0,1,3818.1995544433594
0,2,4255.706832885742
0,3,3920.840042114258
0,4,4179.1107177734375
0,5,4534.674087524414
0,6,3676.1609268188477
0,7,3432.7006225585938
0,8,3596.2670135498047
0,9,3446.6075897216797
1,0,13508.690307617188
1,1,9905.330932617188
1,2,7448.261077880859
1,3,6873.26611328125
1,4,6520.647186279297
1,5,7322.463348388672
1,6,6241.449035644531
1,7,5655.739318847656
1,8,6931.128997802734
1,9,5706.393402099609
2,0,15632.7958984375
2,1,12475.489318847656
2,2,10471.49462890625
2,3,8251.463104248047
2,4,7978.309478759766
2,5,8578.016479492188
2,6,7494.603912353516
2,7,6900.336517333984
2,8,7505.18017578125
2,9,7049.263427734375
3,0,17799.062133789062
3,1,13991.588439941406
3,2,14857.47119140625
3,3,10765.978698730469
3,4,8081.970245361328
3,5,10256.285034179688
3,6,8618.707489013672
3,7,7733.8642578125
3,8,8771.266235351562
3,9,8118.18212890625
4,0,19264.531005859375
4,1,15247.161376953125
4,2,16665.318908691406
4,3,14783.666687011719
4,4,10853.292114257812
4,5,11556.309448242188
4,6,9385.694641113281
4,7,8350.340698242188
4,8,10027.107055664062
4,9,9364.621215820312
5,0,17263.54296875
5,1,13942.596435546875
5,2,15481.322692871094
5,3,13878.765625
5,4,13079.493469238281
5,5,12568.947875976562
5,6,8886.153594970703
5,7,8009.139221191406
5,8,8947.468994140625
5,9,9149.498596191406
6,0,18161.648803710938
6,1,15053.851745605469
6,2,16693.288513183594
6,3,15861.920959472656
6,4,15038.825073242188
6,5,20263.8369140625
6,6,11843.520629882812
6,7,9488.900573730469
6,8,10520.508911132812
6,9,11012.778503417969
7,0,19198.945556640625
7,1,15629.878784179688
7,2,17865.47412109375
7,3,15494.91162109375
7,4,14901.544555664062
7,5,20088.144165039062
7,6,15493.834289550781
7,7,11411.049072265625
7,8,10725.426513671875
7,9,11880.829711914062
8,0,19107.730102539062
8,1,15578.162292480469
8,2,18114.535522460938
8,3,15657.398498535156
8,4,15170.032348632812
8,5,20312.42108154297
8,6,15460.720947265625
8,7,13532.698608398438
8,8,12905.028686523438
8,9,12316.49951171875
9,0,20045.5322265625
9,1,15898.114990234375
9,2,20079.61688232422
9,3,16575.926208496094
9,4,15302.583801269531
9,5,23352.13897705078
9,6,16604.861572265625
9,7,13506.733276367188
9,8,17464.99285888672
9,9,14691.036865234375
