task_model,task_data,value
0,0,7037.737523777274
0,1,158.48450615464367
0,2,51.17676714186797
0,3,482.87842912370576
0,4,852.8157752386576
1,0,4079.6733702173146
1,1,1420.3563524903702
1,2,298.6404621197738
1,3,187.47043135913034
1,4,626.5172486303022
2,0,3095.236472156268
2,1,1141.1833274213297
2,2,1123.7608288355248
2,3,199.93685824344075
2,4,610.9548943051344
3,0,2382.9543730718747
3,1,825.5341155616522
3,2,1316.0389202220024
3,3,827.76462581222
3,4,570.1408671042628
4,0,2073.743588015751
4,1,640.6782221406622
4,2,1014.2050402153875
4,3,1948.0320486688881
4,4,1070.1945206744724
