task_model,task_data,value
0,0,4629.933955448606
0,1,132.31670703667683
0,2,28.559437663001358
0,3,392.8033662506082
0,4,659.038334885304
1,0,1337.2471194371335
1,1,1755.4203265132676
1,2,350.74605521502644
1,3,119.21623498366611
1,4,220.74582796350128
2,0,1269.5356775979328
2,1,809.1224880077997
2,2,1874.896990933536
2,3,235.23777030346508
2,4,191.00786854565698
3,0,1129.511380312178
3,1,520.8102792599158
3,2,783.7380305017498
3,3,2612.014582657954
3,4,215.48817543501056
4,0,1092.9148828932925
4,1,462.0650932107379
4,2,596.4977824520158
4,3,1784.6537492713082
4,4,2515.714734343515
