task_model,task_data,value
0,0,126626.00708007812
0,1,1628.2288432121277
0,2,267.37505197525024
0,3,4193.951845169067
0,4,11271.04139328003
1,0,77133.91494750977
1,1,51638.47732543945
1,2,5838.624954223633
1,3,1828.7219405174255
1,4,7941.436767578125
2,0,71013.60702514648
2,1,24289.475440979004
2,2,60036.59248352051
2,3,3914.511799812317
2,4,5848.021030426025
3,0,50543.14994812012
3,1,23486.77921295166
3,2,45663.30528259277
3,3,71611.16027832031
3,4,5241.258382797241
4,0,73158.60748291016
4,1,23740.788459777832
4,2,29699.98550415039
4,3,77964.28680419922
4,4,77194.57244873047
