task_model,task_data,value
0,0,54644.140625
0,1,24586.4736328125
0,2,18705.3876953125
0,3,21332.5966796875
0,4,34170.3046875
1,0,115246.8828125
1,1,58774.34375
1,2,33259.3125
1,3,30648.396484375
1,4,71879.005859375
2,0,111761.48046875
2,1,59979.017578125
2,2,63978.5078125
2,3,33248.0390625
2,4,61172.06640625
3,0,89406.10546875
3,1,90103.03125
3,2,116410.43359375
3,3,54777.296875
3,4,48596.79296875
4,0,133744.08203125
4,1,102656.73828125
4,2,99481.62890625
4,3,87284.51953125
4,4,61308.5234375
