task_model,task_data,value
0,0,4482.739809919733
0,1,126.53760829781623
0,2,32.240941934098004
0,3,332.5590869520089
0,4,736.1600119099135
1,0,1760.7765670350918
1,1,1879.8196043549824
1,2,412.91691524938716
1,3,84.31532935543765
1,4,221.08261856414381
2,0,1511.562318348237
2,1,819.29023952424
2,2,1955.9847779631248
2,3,220.595075218127
2,4,214.30553587293807
3,0,1126.7059970357477
3,1,510.14321060960714
3,2,790.1395626306504
3,3,2407.8120903722543
3,4,233.84576371704057
4,0,1026.1100084540312
4,1,386.98844169533857
4,2,548.5797724904413
4,3,1369.086262013093
4,4,3060.4411852461512
