task_model,task_data,value
0,0,10820.778369903564
0,1,124.41099435091019
0,2,46.45208455622196
0,3,277.5728106498718
0,4,1181.2947392463684
1,0,27749.428749084473
1,1,16550.135612487793
1,2,2094.4225788116455
1,3,197.77190685272217
1,4,1948.3934044837952
2,0,24838.58585357666
2,1,14365.804195404053
2,2,19039.09683227539
2,3,1456.498920917511
2,4,1530.6885242462158
3,0,23297.630310058594
3,1,9604.608535766602
3,2,13056.767463684082
3,3,23875.216484069824
3,4,1544.8799133300781
4,0,18361.215591430664
4,1,7318.015813827515
4,2,11635.279655456543
4,3,19816.70379638672
4,4,14951.317310333252
