task_model,task_data,value
0,0,4233.107177734375
0,1,2414.5848388671875
0,2,2006.302734375
0,3,2126.39697265625
0,4,3149.763427734375
1,0,13307.638671875
1,1,17378.29248046875
1,2,7808.26123046875
1,3,6553.82666015625
1,4,6795.00244140625
2,0,13053.25732421875
2,1,19889.34765625
2,2,17616.36474609375
2,3,7678.58642578125
2,4,6003.352783203125
3,0,13448.6572265625
3,1,15647.63330078125
3,2,14781.2421875
3,3,19058.83056640625
3,4,6067.005126953125
4,0,13207.45263671875
4,1,16028.59326171875
4,2,15237.7451171875
4,3,18497.158203125
4,4,12443.9931640625
