task_model,task_data,value
0,0,5200.886846575142
0,1,104.92850170450725
0,2,48.02494284531122
0,3,346.12638071776627
0,4,788.9034476877034
1,0,4223.728344118747
1,1,2076.6887736730614
1,2,577.33552545043
1,3,85.10920837367357
1,4,556.1846515340453
2,0,4164.045475446007
2,1,1380.1613607156235
2,2,2037.4118364244937
2,3,349.54316720982087
2,4,544.3518739264699
3,0,3468.1041832745527
3,1,1158.9828617002843
3,2,1750.7436360136765
3,3,2386.4411823091664
3,4,479.94106301899706
4,0,2932.5873003058114
4,1,954.4514273968314
4,2,1397.4508547073683
4,3,1959.9433423117002
4,4,2381.7750439779
