task_model,task_data,value
0,0,0.1136555
0,1,-0.006308158
0,2,0.001464391
0,3,-0.011579246
0,4,0.0024390446
0,5,-0.012611633
0,6,-0.007286287
0,7,-0.00810873
0,8,-0.018637665
0,9,0.0032387448
1,0,0.13498609
1,1,0.11291271
1,2,-0.0025001878
1,3,-0.015722703
1,4,-0.000506232
1,5,0.0009775801
1,6,0.019147795
1,7,-0.010684127
1,8,-0.012062546
1,9,0.0119791245
2,0,0.11745866
2,1,0.094456024
2,2,0.10678459
2,3,-0.029240921
2,4,-0.0020547681
2,5,-0.006264814
2,6,0.019604178
2,7,-0.0042669456
2,8,-0.011785515
2,9,-0.00045821618
3,0,0.082773775
3,1,0.06602851
3,2,0.07070853
3,3,0.036491845
3,4,-0.005709506
3,5,-0.013958693
3,6,0.022307951
3,7,0.006576799
3,8,-0.01149064
3,9,0.023977077
4,0,0.06780878
4,1,0.052902885
4,2,0.0545414
4,3,0.03448575
4,4,0.07092796
4,5,0.0045384364
4,6,0.02008656
4,7,0.0088518085
4,8,-0.012527268
4,9,0.04705531
5,0,0.08270215
5,1,0.055974253
5,2,0.049288966
5,3,0.031427093
5,4,0.068847604
5,5,0.05345522
5,6,0.012778111
5,7,0.00202599
5,8,-0.00955983
5,9,0.05157949
6,0,0.07601741
6,1,0.051764704
6,2,0.035932586
6,3,0.029025022
6,4,0.06182811
6,5,0.051326487
6,6,0.061306305
6,7,0.005143293
6,8,-0.011276955
6,9,0.049709618
7,0,0.079190254
7,1,0.056208808
7,2,0.04038141
7,3,0.018996207
7,4,0.068924084
7,5,0.04986042
7,6,0.062926635
7,7,0.047353234
7,8,-0.004737808
7,9,0.042826243
8,0,0.06263567
8,1,0.043771546
8,2,0.030204631
8,3,0.021188794
8,4,0.062674426
8,5,0.042818658
8,6,0.06019984
8,7,0.047088698
8,8,0.053115476
8,9,0.051821012
9,0,0.05055627
9,1,0.04604374
9,2,0.024096524
9,3,0.0057026558
9,4,0.05065356
9,5,0.045486495
9,6,0.04999947
9,7,0.04605877
9,8,0.050974704
9,9,0.07120034
