task_model,task_data,value
0,0,78461.56616210938
0,1,17733.13364982605
0,2,28539.51163291931
0,3,13808.166790008545
0,4,17367.26393699646
0,5,27115.13147354126
0,6,25541.67194366455
0,7,15329.921960830688
0,8,18743.045377731323
0,9,22156.343173980713
1,0,163094.73724365234
1,1,123021.1181640625
1,2,55081.55860900879
1,3,40753.28941345215
1,4,47244.92115974426
1,5,64980.76229095459
1,6,75522.1284866333
1,7,25071.65355682373
1,8,36353.85446548462
1,9,39184.44690704346
2,0,88102.29759216309
2,1,73622.31521606445
2,2,81220.09696960449
2,3,23440.889883041382
2,4,26982.64753818512
2,5,30902.307415008545
2,6,33676.76820755005
2,7,13249.376201629639
2,8,18620.799827575684
2,9,18906.910181045532
3,0,45045.94783782959
3,1,37639.78843688965
3,2,43109.732818603516
3,3,30792.81120300293
3,4,12541.45314693451
3,5,14582.070851325989
3,6,13813.823652267456
3,7,5262.468779087067
3,8,8506.815719604492
3,9,10417.806482315063
4,0,19334.27858352661
4,1,15328.102493286133
4,2,19144.42844390869
4,3,13580.92713356018
4,4,15097.310590744019
4,5,7316.216564178467
4,6,4261.855173110962
4,7,2471.54883146286
4,8,3772.6595163345337
4,9,4408.865761756897
5,0,9247.432327270508
5,1,7340.264892578125
5,2,9196.632194519043
5,3,7282.817697525024
5,4,7537.619876861572
5,5,8568.84343624115
5,6,2147.2411453723907
5,7,1494.65391933918
5,8,2042.7229821681976
5,9,2485.1386666297913
6,0,6409.608793258667
6,1,5272.092032432556
6,2,6618.062305450439
6,3,5307.137012481689
6,4,5817.758858203888
6,5,5859.521460533142
6,6,4500.742769241333
6,7,1377.448496222496
6,8,2024.5417416095734
6,9,2013.5082244873047
7,0,5285.097646713257
7,1,4233.231329917908
7,2,5255.027961730957
7,3,4489.087891578674
7,4,4958.503723144531
7,5,4897.21040725708
7,6,3657.346189022064
7,7,2986.990475654602
7,8,1689.4601106643677
7,9,1829.6043872833252
8,0,4937.487196922302
8,1,3638.365316390991
8,2,4627.47495174408
8,3,4062.6566886901855
8,4,4376.835978031158
8,5,4579.301142692566
8,6,3190.191411972046
8,7,2613.299262523651
8,8,4653.573894500732
8,9,1757.6657950878143
9,0,4356.29870891571
9,1,3219.237267971039
9,2,4315.103554725647
9,3,3968.959105014801
9,4,4131.316101551056
9,5,3959.001934528351
9,6,3118.0010318756104
9,7,2415.2376770973206
9,8,4224.624156951904
9,9,3866.5358781814575
