task_model,task_data,value
0,0,2799.1044258535007
0,1,42.87903046229643
0,2,87.0005614209029
0,3,88.68573527805593
0,4,419.07405552969806
1,0,3318.940856905509
1,1,1566.6455759928122
1,2,466.86280273258825
1,3,103.01694776969619
1,4,467.35745579478225
2,0,3255.4600844935326
2,1,1058.6379840070924
2,2,1630.1207923823602
2,3,326.35260746160037
2,4,555.555684244805
3,0,3283.0286713362093
3,1,987.1453379053237
3,2,1492.8634484298482
3,3,2218.9513588609134
3,4,546.2459502429008
4,0,3169.032059099334
4,1,1045.990380386876
4,2,1466.8437632792982
4,3,1993.3572278407732
4,4,2965.531356629217
