task_model,task_data,value
0,0,122088.6015625
0,1,67407.181640625
0,2,62069.2890625
0,3,59921.017578125
0,4,85625.375
1,0,242638.5390625
1,1,198497.0703125
1,2,117786.19921875
1,3,112119.32421875
1,4,145178.953125
2,0,180354.15625
2,1,164833.2890625
2,2,125547.69921875
2,3,65227.580078125
2,4,92346.90234375
3,0,87016.544921875
3,1,63624.10546875
3,2,52707.353515625
3,3,51482.279296875
3,4,37089.14453125
4,0,27703.6923828125
4,1,24466.392578125
4,2,23604.1123046875
4,3,26392.478515625
4,4,11498.983642578125
