task_model,task_data,value
0,0,0.13517673
0,1,-0.012695717
0,2,0.005740567
0,3,-0.014341254
0,4,-0.002259202
0,5,-0.007583321
0,6,-0.0143043725
0,7,-0.01955773
0,8,-0.020891044
0,9,-0.0093040755
1,0,0.022705857
1,1,0.12296192
1,2,0.0036761703
1,3,-0.004652668
1,4,0.0009807205
1,5,0.00075466954
1,6,0.01775983
1,7,-0.009208658
1,8,-0.02159391
1,9,0.009414391
2,0,0.019554043
2,1,0.0054458715
2,2,0.20066904
2,3,-0.01248682
2,4,0.009712376
2,5,-0.001791368
2,6,0.02254001
2,7,-0.003915865
2,8,-0.016645249
2,9,0.017250188
3,0,0.0066690063
3,1,-0.0039749
3,2,0.006168711
3,3,0.15805542
3,4,-0.0042549497
3,5,-0.018256355
3,6,-0.007159814
3,7,-0.0077312533
3,8,-0.00880871
3,9,0.036635246
4,0,0.021765094
4,1,-0.0038652197
4,2,0.04175394
4,3,0.0061879023
4,4,0.21922728
4,5,0.014515478
4,6,0.008066146
4,7,-0.008510777
4,8,-0.011410184
4,9,0.0529119
5,0,0.020480817
5,1,-0.011241833
5,2,0.008503075
5,3,0.007801772
5,4,0.034712978
5,5,0.1768508
5,6,-0.006990774
5,7,-0.012849062
5,8,-0.011570968
5,9,0.026165517
6,0,-0.0027780074
6,1,-0.011441803
6,2,-0.0020091515
6,3,-0.0016749365
6,4,0.01843362
6,5,0.015287264
6,6,0.21514814
6,7,0.0260188
6,8,-0.007953101
6,9,0.032232214
7,0,-0.0092890365
7,1,-0.014081614
7,2,0.010574743
7,3,-0.006620109
7,4,0.010094613
7,5,-0.016718205
7,6,0.04782434
7,7,0.18733734
7,8,-0.022700267
7,9,0.01369079
8,0,0.02708253
8,1,-0.007634463
8,2,0.008531235
8,3,-0.01691211
8,4,0.00077170465
8,5,0.0062137404
8,6,0.020332856
8,7,-0.014005947
8,8,0.23150955
8,9,0.022134785
9,0,0.020878695
9,1,0.0057333973
9,2,7.949543e-05
9,3,0.03015248
9,4,0.044840604
9,5,0.027984226
9,6,0.048271153
9,7,0.0221704
9,8,0.019877292
9,9,0.29345477
