task_model,task_data,value
0,0,101662.8740234375
0,1,79642.90380859375
0,2,79168.66650390625
0,3,74059.55908203125
0,4,72704.890625
0,5,80741.50830078125
0,6,72625.28271484375
0,7,69771.16796875
0,8,75699.42822265625
0,9,74127.8369140625
1,0,104334.048828125
1,1,114111.53955078125
1,2,94312.71142578125
1,3,90112.23681640625
1,4,85780.88671875
1,5,93058.09130859375
1,6,80687.9228515625
1,7,77253.03076171875
1,8,97285.46630859375
1,9,88910.2197265625
2,0,88129.9658203125
2,1,86107.47705078125
2,2,106551.802734375
2,3,82424.07861328125
2,4,73510.57958984375
2,5,81526.1689453125
2,6,77479.9404296875
2,7,76741.82861328125
2,8,82528.7802734375
2,9,80271.12841796875
3,0,95803.86572265625
3,1,94187.17822265625
3,2,85391.19921875
3,3,119428.732421875
3,4,79739.1103515625
3,5,81626.40649414062
3,6,82504.1328125
3,7,77750.78466796875
3,8,79086.98388671875
3,9,80675.22729492188
4,0,102455.0029296875
4,1,97956.41650390625
4,2,97671.80126953125
4,3,102880.35107421875
4,4,107797.7236328125
4,5,92851.927734375
4,6,90062.87744140625
4,7,91933.40283203125
4,8,87635.1982421875
4,9,90332.24462890625
5,0,84928.16748046875
5,1,78874.64990234375
5,2,74183.50830078125
5,3,84503.26318359375
5,4,69805.11376953125
5,5,114259.79248046875
5,6,81559.1865234375
5,7,80977.49267578125
5,8,74183.49658203125
5,9,75064.962890625
6,0,84917.259765625
6,1,84337.04736328125
6,2,94166.32763671875
6,3,85581.9853515625
6,4,75461.1025390625
6,5,82482.13232421875
6,6,112304.490234375
6,7,82931.9677734375
6,8,78369.4296875
6,9,84058.20849609375
7,0,115462.16748046875
7,1,103677.7431640625
7,2,116822.25390625
7,3,95744.220703125
7,4,88830.375
7,5,105909.15502929688
7,6,114986.77294921875
7,7,125270.9951171875
7,8,92641.6748046875
7,9,101036.28466796875
8,0,84453.83544921875
8,1,84984.42431640625
8,2,76597.95556640625
8,3,80348.50341796875
8,4,74924.41162109375
8,5,85018.23974609375
8,6,76851.64477539062
8,7,71436.0830078125
8,8,118216.71337890625
8,9,73178.015625
9,0,99557.2509765625
9,1,96735.39208984375
9,2,100935.4072265625
9,3,96974.31884765625
9,4,88213.81640625
9,5,95402.37109375
9,6,92389.31469726562
9,7,87889.75244140625
9,8,95937.6162109375
9,9,115700.2509765625
