task_model,task_data,value
0,0,2667.1343037976744
0,1,39.897960938330414
0,2,92.10219756451374
0,3,98.87624422790391
0,4,388.49028550225574
1,0,627.724030457686
1,1,1869.4518679150417
1,2,442.0280037055151
1,3,48.64199769545307
1,4,345.194715457513
2,0,223.60317003110842
2,1,411.4425753816307
2,2,2280.572809018349
2,3,212.67239986976327
2,4,188.90059861566414
3,0,145.91992846895695
3,1,33.10386098968702
3,2,78.42289890288278
3,3,4201.4972710969705
3,4,176.1901145078277
4,0,1082.7473431191008
4,1,73.86889174944483
4,2,108.36379014681474
4,3,225.6189602992223
4,4,4078.482358731223
