task_model,task_data,value
0,0,171243.13354492188
0,1,1446.9783902168274
0,2,2966.181516647339
0,3,3222.9785919189453
0,4,17002.981185913086
1,0,56939.12315368652
1,1,326809.75341796875
1,2,45122.27821350098
1,3,4282.053709030151
1,4,26799.67975616455
2,0,14752.287864685059
2,1,31228.781700134277
2,2,320312.4542236328
2,3,17026.0066986084
2,4,9510.603427886963
3,0,8533.949375152588
3,1,2060.264825820923
3,2,5218.193531036377
3,3,366907.53173828125
3,4,8943.562507629395
4,0,82309.25750732422
4,1,2612.3017072677612
4,2,3758.573532104492
4,3,7481.703996658325
4,4,373015.1062011719
